ref	kind	url
1	html	https://www.who.int/news-room/fact-sheets/detail/depression
2	html	https://www.who.int/news/item/30-03-2017--depression-let-s-talk-says-who-as-depression-tops-list-of-causes-of-ill-health
3	html	https://www.who.int/news-room/fact-sheets/detail/mental-health-at-work
4	html	https://www.who.int/news/item/02-03-2022-covid-19-pandemic-triggers-25-increase-in-prevalence-of-anxiety-and-depression-worldwide
5	pdf	https://www.bmj.com/content/bmj/365/bmj.l1476.full.pdf
6	html	https://doi.org/10.1787/4ed890f6-en
7	html	https://doi.org/10.1017/S1351324916000383
8	pdf	https://aclanthology.org/2022.lrec-1.778.pdf
9	html	https://doi.org/10.1016/j.inffus.2022.11.031
10	pdf	https://aclanthology.org/2024.findings-emnlp.639.pdf
11	pdf	https://proceedings.mlr.press/v106/tonekaboni19a/tonekaboni19a.pdf
12	pdf	https://arxiv.org/pdf/1910.01108
13	pdf	https://arxiv.org/pdf/2310.06825
14	pdf	https://arxiv.org/pdf/2307.09288
15	pdf	https://proceedings.mlr.press/v70/guo17a/guo17a.pdf
16	pdf	https://proceedings.neurips.cc/paper_files/paper/2017/file/4a8423d5e91fda00bb7e46540e2b0cf1-Paper.pdf
17	pdf	https://arxiv.org/pdf/2201.11903
18	pdf	https://arxiv.org/pdf/2402.03620
19	pdf	https://arxiv.org/pdf/2411.17672
20	html	https://doi.org/10.1080/02699930441000030
21	pdf	https://ojs.aaai.org/index.php/ICWSM/article/download/14432/14281
22	html	https://doi.org/10.1145/2702123.2702280
23	pdf	https://aclanthology.org/W15-1204.pdf
24	pdf	https://www.jmir.org/2017/6/e228/PDF
25	pdf	https://arxiv.org/pdf/1301.3781
26	pdf	https://aclanthology.org/D14-1162.pdf
27	html	https://doi.org/10.1162/neco.1997.9.8.1735
28	pdf	https://aclanthology.org/D14-1181.pdf
29	pdf	https://www.ijcai.org/proceedings/2017/0536.pdf
30	pdf	https://aclanthology.org/W18-0609.pdf
31	pdf	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8681445
32	pdf	https://ceur-ws.org/Vol-2125/invited_paper_5.pdf
33	pdf	https://mental.jmir.org/2024/1/e58259/PDF
34	pdf	https://arxiv.org/pdf/2305.05325
35	pdf	https://www.jmir.org/2024/1/e54617/PDF
36	pdf	https://www.mdpi.com/2227-9032/10/2/291/pdf
37	pdf	https://www.nature.com/articles/s41746-020-0233-7.pdf
38	html	https://doi.org/10.1016/j.copsyc.2016.01.004
39	pdf	https://aclanthology.org/W17-1612.pdf
40	pdf	https://arxiv.org/pdf/2407.21783
41	html	https://textblob.readthedocs.io/en/dev/
42	pdf	https://www.jmlr.org/papers/volume13/desmedt12a/desmedt12a.pdf
43	pdf	https://aclanthology.org/2024.clpsych-1.8.pdf
44	pdf	https://aclanthology.org/2025.emnlp-industry.151.pdf
45	html	https://doi.org/10.1016/j.jad.2024.11.052
46	html	https://doi.org/10.35566/jbds/caoyc
